Date       ,Season               ,Day Name                     ,Meditation        ,OT Reading                               ,NT Reading
2023-12-03 ,Advent               ,1st Sunday                   ,Psalm             ,                                         ,
2023-12-04 ,Advent               ,Monday of Week 1             ,Psalm             ,                                         ,
2023-12-05 ,Advent               ,Tuesday of Week 1            ,Psalm             ,                                         ,
2023-12-06 ,Advent               ,Wednesday of Week 1          ,Psalm             ,                                         ,
2023-12-07 ,Advent               ,Thursday of Week 1           ,Psalm             ,                                         ,
2023-12-08 ,Advent               ,Friday of Week 1             ,Psalm             ,                                         ,
2023-12-09 ,Advent               ,Saturday of Week 1           ,                  ,Isaiah 11:1-10                           ,Matthew 1:1-17
2023-12-10 ,Advent               ,2nd Sunday                   ,                  ,Genesis 1:1-2:3                          ,
2023-12-11 ,Advent               ,Monday of Week 2             ,                  ,Genesis 2:7-9; 15-25                     ,
2023-12-12 ,Advent               ,Tuesday of Week 2            ,                  ,Genesis 3:1-24                           ,
2023-12-13 ,Advent               ,Wednesday of Week 2          ,                  ,Genesis 6:5-22; 9:8-17                   ,
2023-12-14 ,Advent               ,Thursday of Week 2           ,                  ,Genesis 12:1-7; 15:1-6                   ,
2023-12-15 ,Advent               ,Friday of Week 2             ,                  ,Genesis 22:1-14                          ,
2023-12-16 ,Advent               ,Saturday of Week 2           ,                  ,Genesis 28:10-22                         ,
2023-12-17 ,Advent               ,3rd Sunday                   ,                  ,Genesis 37:3-36; 50:15-21                ,
2023-12-18 ,Advent               ,Monday of Week 3             ,                  ,Exodus 3:1-12                            ,
2023-12-19 ,Advent               ,Tuesday of Week 3            ,                  ,Exodus 12:1-28                           ,
2023-12-20 ,Advent               ,Wednesday of Week 3          ,                  ,Exodus 20:1-21                           ,
2023-12-21 ,Advent               ,Thursday of Week 3           ,                  ,Joshua 6:1-20                            ,
2023-12-22 ,Advent               ,Friday of Week 3             ,                  ,Ruth 1:1-22; 4:13-17                     ,
2023-12-23 ,Advent               ,Saturday of Week 3           ,                  ,1 Samuel 16:1-13                         ,
2023-12-24 ,Advent               ,4th Sunday                   ,                  ,2 Samuel 7:1-17                          ,
2023-12-25 ,Christmas            ,CHRISTMAS DAY                ,                  ,Isaiah 9:2-7                             ,Luke 2:1-21
2023-12-26 ,Christmas            ,Boxing Day                   ,                  ,Psalm 98                                 ,
2023-12-27 ,Christmas            ,Wednesday of Week 0          ,                  ,Psalm 2                                  ,
2023-12-28 ,Christmas            ,Thursday of Week 0           ,                  ,Psalm 18                                 ,
2023-12-29 ,Christmas            ,Friday of Week 0             ,                  ,Psalm 20                                 ,
2023-12-30 ,Christmas            ,Saturday of Week 0           ,                  ,Psalm 21                                 ,
2023-12-31 ,Christmas            ,1st Sunday                   ,                  ,Psalm 45                                 ,
2024-01-01 ,Christmas            ,New Year's Day               ,                  ,Psalm 72                                 ,
2024-01-02 ,Christmas            ,Tuesday of Week 1            ,                  ,Psalm 101                                ,
2024-01-03 ,Christmas            ,Wednesday of Week 1          ,                  ,Psalm 110                                ,
2024-01-04 ,Christmas            ,Thursday of Week 1           ,                  ,Psalm 132                                ,
2024-01-05 ,Christmas            ,Friday of Week 1             ,                  ,Psalm 144                                ,
