Date       ,Season    ,Day Name               ,OT Reading                              ,NT Reading
2023-12-03 ,Advent    ,First Day of Season    ,Genesis 1:1-5 & 26-31; Genesis 3:1-15   ,
2023-12-04 ,Advent    ,Second Day of Season   ,Genesis 12:1-7; Genesis 22:1-18         ,
2023-12-05 ,Advent    ,3th Day of Season      ,Genesis 28:10-17; Genesis 49:8-12       ,
2023-12-06 ,Advent    ,4th Day of Season      ,Exodus 3:1-12; Exodus 12:21-28          ,
2023-12-07 ,Advent    ,5th Day of Season      ,Exodus 19:3-8; Exodus 20:1-17           ,
2023-12-08 ,Advent    ,6th Day of Season      ,Exodus 25:1-9; Exodus 40:34-38          ,
2023-12-09 ,Advent    ,First Sunday of Season ,Numbers 9:15-23; Numbers 24:15-19       ,
2023-12-10 ,Advent    ,8th Day of Season      ,Deuteronomy 6:4-12; Joshua 1:1-9        ,
2023-12-11 ,Advent    ,9th Day of Season      ,Judges 2:11-19; Ruth 4:13-17            ,
2023-12-12 ,Advent    ,10th Day of Season     ,1 Samuel 8:1-22; 1 Samuel 16:1-13       ,
2023-12-13 ,Advent    ,11th Day of Season     ,2 Samuel 7:8-16; Psalm 72:1-17          ,
2023-12-14 ,Advent    ,12th Day of Season     ,1 Kings 8:22-30; 1 Kings 8:54-61        ,
2023-12-15 ,Advent    ,13th Day of Season     ,1 Kings 11:9-13; 1 Kings 18:20-39       ,
2023-12-16 ,Advent    ,2th Sunday of Season   ,2 Kings 25:1-12; Jeremiah 31:31-34      ,
2023-12-17 ,Advent    ,15th Day of Season     ,Ezra 1:1-5; Nehemiah 8:1-12             ,
2023-12-18 ,Advent    ,16th Day of Season     ,Isaiah 9:2-7; Micah 5:2-5               ,
2023-12-19 ,Advent    ,17th Day of Season     ,Psalm 130:1-8; Isaiah 40:1-11           ,
2023-12-20 ,Advent    ,18th Day of Season     ,Psalm 80:1-7 & 17-19; Jeremiah 33:14-16 ,
2023-12-21 ,Advent    ,19th Day of Season     ,Habbakkuk 3:2-6 & 17-19; Psalm 85:8-13  ,
2023-12-22 ,Advent    ,20th Day of Season     ,                                        ,Mark 1:1; Luke 1:1-38
2023-12-23 ,Advent    ,3th Sunday of Season   ,                                        ,Luke 1:39-80
2023-12-24 ,Advent    ,22th Day of Season     ,                                        ,Matthew 1:18-25; Isaiah 9:2-7
2023-12-25 ,Christmas ,First Day of Season    ,                                        ,Luke 2:1-21
2023-12-26 ,Christmas ,Second Day of Season   ,                                        ,
2023-12-27 ,Christmas ,3th Day of Season      ,                                        ,
2023-12-28 ,Christmas ,4th Day of Season      ,                                        ,
2023-12-29 ,Christmas ,5th Day of Season      ,                                        ,
2023-12-30 ,Christmas ,6th Day of Season      ,                                        ,
2023-12-31 ,Christmas ,First Sunday of Season ,                                        ,
